video_title,views,likes,comments,published_date,like_ratio,view_ratio,comment_ratio,month,year,day_of_month,week_of_year,quarter,is_weekend,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,channel_title_3blue1brown,channel_title_CodeWithHarry,channel_title_GoogleDevelopers,channel_title_JomaTech,channel_title_LukeBarousse,channel_title_TechWithTim,channel_title_TheCodingTrain,channel_title_TheNetNinja,channel_title_WelchLabs,channel_title_aiExplained,channel_title_codebasics,channel_title_coreyms,channel_title_freecodecamp,channel_title_krishnaik06,channel_title_mlstreettalk,channel_title_realpython,channel_title_sentdex,channel_title_simplilearn,channel_title_statquest,log_views,is_viral
Autoencoders in Python with Tensorflow/Keras,78924,2046,198,2021-03-01,0.025923673407328537,398.60606060585934,0.0025087425878059875,3,2021,1,9,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.276253313426192,0
Neural Networks from Scratch (NNFS) in Print!,163650,6288,888,2020-10-28,0.03842346471127404,184.29054054051977,0.005426214482126487,10,2020,28,44,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.005491390512551,1
AI-Based Game Engines with GameGAN research paper,51101,1797,226,2020-05-22,0.03516565233557066,226.1106194689265,0.004422614038864201,5,2020,22,21,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.841578914369135,0
Neural Networks from Scratch announcement,82513,5153,740,2020-01-10,0.0624507653339473,111.50405405403897,0.00896828378558529,1,2020,10,2,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.320723254895567,0
Optimizing Neural Network Structures with Keras-Tuner,97244,2479,184,2019-12-21,0.02549257537740115,528.4999999997128,0.001892147587511824,12,2019,21,51,4,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.484988846277206,0
Cloud GPUs Tutorial (comparing & using),70014,1333,179,2019-09-06,0.019039049332990516,391.1396648042508,0.002556631530836686,9,2019,6,36,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.156464783789877,0
Running our Reinforcement Learning Agent - Self-driving cars with Carla and Python p.5,50551,555,119,2019-08-28,0.010979011295523311,424.7983193273741,0.002354058277778872,8,2019,28,35,3,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.83075778845329,0
Training & Testing Deep reinforcement learning (DQN) Agent - Reinforcement Learning p.6,88966,1398,250,2019-06-22,0.01571386821931972,355.8639999998577,0.0028100622709799216,6,2019,22,25,2,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.396020793439105,0
Deep Q Learning w/ DQN - Reinforcement Learning p.5,147315,2174,170,2019-06-21,0.014757492448155305,866.558823528902,0.0011539897498557506,6,2019,21,25,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.900335218411945,1
Why I use a Standing Desk,27130,909,165,2019-06-03,0.033505344636933165,164.4242424241428,0.006081828234426811,6,2019,3,23,2,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.208432264538738,0
Q Learning Intro/Table - Reinforcement Learning p.1,332736,5304,318,2019-05-30,0.015940565493364103,1046.3396226411805,0.0009557126370455854,5,2019,30,22,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.715107667124522,1
Finishing Chat Application - Kivy Mobile and Desktop App Dev w/ Python,43697,425,63,2019-04-30,0.009726068151131634,693.6031746020736,0.0014417465729912775,4,2019,30,18,2,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.68505761344597,0
Changing Screen/view/page - Kivy Mobile and Desktop App Dev w/ Python,45966,699,65,2019-04-25,0.015206892050646096,707.1692307681428,0.0014140886742374768,4,2019,25,17,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.735679026718607,0
What's It Like to Race a Race Car For the First Time?,26534,1487,243,2019-04-16,0.05604130549483661,109.19341563781515,0.009158061355242296,4,2019,16,16,2,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.186219895261996,0
Sockets Tutorial with Python 3 part 1 - sending and receiving data,834981,13547,632,2019-03-11,0.01622432127198104,1321.1724683542213,0.0007569034504976759,3,2019,11,11,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,13.635165446714412,1
Models - Django Web Development with Python p.2,102019,1466,137,2019-01-22,0.01436987227869317,744.6642335760988,0.0013428871092639593,1,2019,22,4,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.532924151476918,1
Calculating Horizontal Winner - Python 3 Programming Tutorial p.10,71904,1372,99,2018-11-04,0.019080996884735177,726.3030303022966,0.0013768357810413866,11,2018,4,44,4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.18310108232048,0
Built-in Functions - Python 3 Programming Tutorial p.4,196625,2528,150,2018-10-30,0.012856961220597578,1310.8333333324595,0.0007628734901462171,10,2018,30,44,4,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.189058726170915,1
Lists & Tic Tac Toe Game - Python 3 Programming Tutorial p.3,292447,3603,189,2018-10-29,0.012320181092642423,1547.3386243378056,0.0006462709482401937,10,2018,29,44,4,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.586042152071927,1
Moving to drop off halite - Halite III coding competition p.5,7085,142,16,2018-10-22,0.02004234297812251,442.81249999723246,0.0022582921665490153,10,2018,22,43,4,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8.865876285425417,0
Moving towards the most halite - Halite III coding competition p.3,9707,165,17,2018-10-19,0.01699804264963411,570.9999999966412,0.0017513134851138174,10,2018,19,42,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9.180705566846491,0
Halite III (2018) AI Competition Introduction,31599,489,65,2018-10-17,0.015475173264976692,486.1384615377136,0.002057027121111421,10,2018,17,42,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.360912399575003,0
Embedding and Attaching w/ Image Example - making Discord bots with Discordpy 1.0.0 p.4,30144,225,39,2018-10-16,0.007464171974522269,772.923076921095,0.0012937898089171933,10,2018,16,42,4,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.313774350923506,0
S2000 @ MSR Cresson 3.1 CCW track weekend,3544,113,33,2018-10-04,0.03188487584650023,107.39393939361395,0.009311512415349624,10,2018,4,40,4,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8.173293438966228,0
"Normalizing and creating sequences Crypto RNN - Deep Learning w/ Python, TensorFlow and Keras p.9",89428,1376,194,2018-09-16,0.015386679787091274,460.9690721647109,0.0021693429350986243,9,2018,16,37,3,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.401200293347708,0
"How to use your trained model - Deep Learning basics with Python, TensorFlow and Keras p.6",233084,3021,436,2018-08-31,0.012960992603524905,534.5963302751068,0.0018705702665133593,8,2018,31,35,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.359158472888945,1
"Optimizing with TensorBoard - Deep Learning w/ Python, TensorFlow & Keras p.5",138346,2139,229,2018-08-25,0.015461234874878917,604.1310043665485,0.001655270119844447,8,2018,25,34,3,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.837520300845526,1
Version 2 Changes - Python AI in StarCraft II tutorial p.13,9344,215,59,2018-07-21,0.02300941780821893,158.37288135566376,0.006314212328767056,7,2018,21,29,3,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9.142596719889664,0
Building Neural Network Model - Python AI in StarCraft II tutorial p.10,17936,326,63,2018-07-13,0.018175735950044503,284.6984126979608,0.0035124888492417293,7,2018,13,28,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9.794620897549015,0
Geysers and Expanding - Python AI in StarCraft II tutorial p.3,20251,476,92,2018-06-23,0.02350501209816788,220.11956521715203,0.004542985531578665,6,2018,23,25,2,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9.9160088330898,0
Workers and Pylons - Python AI in StarCraft II tutorial p.2,33747,749,132,2018-06-22,0.022194565442854114,255.65909090889724,0.00391145879633744,6,2018,22,25,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.426676435285517,0
Channel Update: Sponsor Button,8752,310,66,2018-05-26,0.03542047531992647,132.60606060585968,0.007541133455210151,5,2018,26,21,2,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9.077151777732437,0
Filtering for Puck - Teaching a Robotic Arm to Play Air Hockey p.2,9234,222,47,2018-05-23,0.024041585445093955,196.46808510596495,0.005089885206844216,5,2018,23,21,2,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9.13075589263334,0
Intro and Overview of uArm Swift Pro - Teaching a Robotic Arm to Play Air Hockey,35050,529,82,2018-05-22,0.015092724679029914,427.43902438972265,0.0023395149786019902,5,2018,22,21,2,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.464559422726214,0
Deep Dream - Unconventional Neural Networks p.7,14080,266,37,2018-04-12,0.01889204545454532,380.54054053951205,0.0026278409090908905,4,2018,12,15,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9.552581649917311,0
Generating Pythonic code with Neural Network - Unconventional Neural Networks p.2,18409,454,83,2018-04-05,0.024661850181976076,221.79518072262434,0.004508664240317212,4,2018,5,14,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9.820649274227124,0
Generative Model Basics - Unconventional Neural Networks p.1,49942,1047,125,2018-04-04,0.020964318609587078,399.53599999968037,0.0025029033679067666,4,2018,4,14,2,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.818637634116012,0
Deploy Dash App - Data Visualization GUIs with Dash and Python p.11,38605,368,79,2018-03-12,0.009532443983939879,488.67088607533077,0.002046367050900137,3,2018,12,11,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.56116298378782,0
Streaming Tweets and Sentiment - Data Visualization GUIs with Dash and Python p.7,25097,265,35,2018-02-28,0.010559030959875641,717.0571428550941,0.0013945889947005563,2,2018,28,9,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.130543440670253,0
Sentiment Analysis in Python with TextBlob and VADER Sentiment (also Dash p.6),76466,1152,96,2018-02-27,0.01506551931577431,796.5208333325036,0.0012554599429811925,2,2018,27,9,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.244614554197703,0
Deploying Model - Halite II 2017 Artificial Intelligence Competition p.7,14155,220,66,2018-01-12,0.015542211232779827,214.46969696937202,0.004662663369833948,1,2018,12,2,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9.557893841465354,0
Deep Learning - Halite II 2017 Artificial Intelligence Competition p.4,13899,363,35,2018-01-09,0.026116986833584963,397.1142857131511,0.0025181667745880817,1,2018,9,2,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9.539644119118783,0
"Building Database - Creating a Chatbot with Deep Learning, Python, and TensorFlow p.5",95259,990,472,2017-11-27,0.01039271879822378,201.81991525419454,0.004954912396728912,11,2017,27,48,4,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.46436527435485,0
Buffering and Iterating over Channels - Go Lang Practical  Programming Tutorial p.23,34558,479,27,2017-11-12,0.013860755830777203,1279.9259259211856,0.0007812952138433914,11,2017,12,45,4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.450423287314177,0
Looping - Go Lang Practical Programming Tutorial p.12,32474,420,29,2017-10-28,0.012933423662006489,1119.7931034444146,0.0008930221099956861,10,2017,28,43,4,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.3882258415388,0
Accessing the internet - Go Lang Practical Programming Tutorial p.10,40232,567,54,2017-10-27,0.014093259097235996,745.0370370356574,0.001342215152117714,10,2017,27,43,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.60244283337905,0
Determining other vehicle distances & collision warning (object detection) - Self Driving Cars p.18,134536,1967,174,2017-09-04,0.014620621989653318,773.1954022984063,0.001293334126181839,9,2017,4,36,3,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.80959453312971,1
Training Custom Object Detector - TensorFlow Object Detection API Tutorial p.5,232399,1161,863,2017-08-25,0.004995718570217598,269.292004634963,0.003713441107750032,8,2017,25,34,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.356215303959893,1
Cython Tutorial - Bridging between Python and C/C++ for performance gains,309808,5243,350,2017-07-10,0.016923384806073433,885.1657142854614,0.0011297319630222584,7,2017,10,28,3,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.643711257543579,1
Self-driving cars with Python and TensorFlow update v0.03,43767,706,97,2017-06-20,0.01613087486005434,451.2061855665451,0.0022162816734068998,6,2017,20,25,2,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.686658235743662,0
Self driving car neural network in the city - Python plays GTA with Tensor Flow p.14,1579777,22319,1488,2017-04-21,0.014127943374286371,1061.6780913977782,0.0009419050916680012,4,2017,21,16,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,14.272794888802096,1
A more interesting self-driving neural network model - Python plays GTA p.13,144639,2095,237,2017-04-18,0.014484336866267043,610.2911392402489,0.001638562213510878,4,2017,18,16,2,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.882003175626004,1
Lane Finding - Python plays Grand Theft Auto 5 p.6,89109,1128,79,2017-04-10,0.012658654008012644,1127.9620253150279,0.0008865546690008855,4,2017,10,15,2,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.397626840606765,0
Intro and Screen reading - Python plays Grand Theft Auto V p.1,606849,7899,606,2017-04-10,0.013016417593173917,1001.4009900988445,0.0009986009699282687,4,2017,10,15,2,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,13.316036922534508,1
Installation and Setup of Operating System (Raspbian) - Raspberry Pi and Python tutorials p.2,390964,3010,135,2017-04-03,0.0076989185705077685,2896.0296296274846,0.0003453003345576574,4,2017,3,14,2,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.876373320894384,1
Setting up API and Vision Intro  - Google Cloud Python Tutorials p.2,127663,910,132,2017-03-21,0.007128142061521343,967.1439393932068,0.0010339722550778213,3,2017,21,12,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.757157091548063,1
Intro and creating a virtual machine - Google Cloud Python Tutorials p.1,233818,1954,102,2017-03-21,0.008356927182680543,2292.333333331086,0.0004362367311327612,3,2017,21,12,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.36230259075755,1
Using our Network - Using Convolutional Neural Network to Identify Dogs vs Cats p. 4,54064,470,97,2017-02-22,0.008693400414323748,557.3608247416935,0.0017941698727434118,2,2017,22,8,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.897942305379637,0
Intro and preprocessing - Using Convolutional Neural Network to Identify Dogs vs Cats p. 1,184636,1478,128,2017-02-22,0.008004939448428255,1442.4687499988731,0.000693255919755627,2,2017,22,8,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.126147014336253,1
Preprocessing data - 3D Convolutional Neural Network w/ Kaggle and 3D medical imaging p.5,41610,254,20,2017-02-10,0.006104301850516688,2080.4999999895977,0.00048065368901706204,2,2017,10,6,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.636119834372657,0
Reading Files - 3D Convolutional Neural Network w/ Kaggle and 3D medical imaging p.2,73592,685,76,2017-02-10,0.009308076964887476,968.3157894724101,0.0010327209479291213,2,2017,10,6,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.206305191498197,0
Research  - Algorithmic Trading with Python and Quantopian p. 4,61365,660,47,2017-01-30,0.010755316548521127,1305.6382978695624,0.0007659089057280195,1,2017,30,5,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.024611214832996,0
Hobbies and Procrastination - Q&A #10,59634,1377,164,2017-01-22,0.02309085421068514,363.6219512192905,0.002750108998222486,1,2017,22,3,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.99599792901277,0
Basic Stock data Manipulation - Python Programming for Finance p.3,191301,2070,130,2017-01-17,0.010820643906722908,1471.546153845022,0.0006795573467990232,1,2017,17,3,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.161608610156756,1
"Special Methods, OOP, Iteration - Intermediate Python Programming p.21",17091,244,33,2016-12-07,0.014276519805745631,517.9090909075214,0.001930840793400024,12,2016,7,49,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9.746365796763916,0
Detecting collisions - Intermediate Python Programming p.20,21220,237,39,2016-12-06,0.011168708765315689,544.1025641011689,0.0018378887841658728,12,2016,6,49,4,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9.96274653641105,0
Operator overloading - Intermediate Python Programming p.19,19416,258,18,2016-12-05,0.013288009888751479,1078.666666660674,0.0009270704573547542,12,2016,5,49,4,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,9.873904249994453,0
Decorators - Intermediate Python Programming p.18,31974,587,61,2016-11-29,0.01835866641646332,524.1639344253703,0.0019078000875711457,11,2016,29,48,4,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.372709626447044,0
Multiprocessing spider example - Intermediate Python Programming p.12,38030,522,75,2016-11-16,0.013726005784906617,507.06666666599057,0.0019721272679463528,11,2016,16,46,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.546156895606837,0
TFLearn - Deep Learning with Neural Networks and TensorFlow p. 14,71779,502,158,2016-10-04,0.00699368896195265,454.2974683541429,0.002201200908343663,10,2016,4,40,4,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.181361164701599,0
Installing the GPU version of TensorFlow for making use of your CUDA GPU,121377,613,158,2016-08-26,0.005050380220305325,768.2088607590075,0.0013017293226888114,8,2016,26,34,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.706664922074989,1
Using More Data - Deep Learning with Neural Networks and TensorFlow part 8,69359,404,128,2016-08-25,0.005824766793062175,541.8671874995767,0.001845470667108808,8,2016,25,34,3,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.147065611454423,0
Running our Network  - Deep Learning with Neural Networks and TensorFlow,191081,1861,625,2016-07-21,0.009739325207634455,305.72959999995106,0.00327086418848551,7,2016,21,29,3,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.160457934269301,1
Mean Shift with Titanic Dataset - Practical Machine Learning Tutorial with Python p.40,36458,375,49,2016-07-01,0.010285808327390393,744.0408163250121,0.0013440122881123446,7,2016,1,26,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10.50394362053891,0
Support Vector Machine Intro and Application  - Practical Machine Learning Tutorial with Python p.20,148882,1500,120,2016-05-13,0.010075093026692274,1240.6833333322993,0.0008060074421353819,5,2016,13,19,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.910916041569859,1
Classification w/ K Nearest Neighbors Intro - Practical Machine Learning Tutorial with Python p.13,143397,1472,47,2016-04-29,0.01026520777980013,3050.9999999935085,0.00032776138970829215,4,2016,29,17,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.873379260049003,1
Testing Assumptions - Practical Machine Learning Tutorial with Python p.12,115292,1330,146,2016-04-26,0.011535926170072501,789.6712328761715,0.0012663497900981843,4,2016,26,17,2,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.655231993225946,1
How to program the Best Fit Line - Practical Machine Learning Tutorial with Python p.9,143394,1282,86,2016-04-18,0.008940401969398994,1667.372093021317,0.0005997461539534426,4,2016,18,16,2,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.873358339036285,1
Pickling and Scaling - Practical Machine Learning Tutorial with Python p.6,183089,1561,166,2016-04-15,0.008525908164881557,1102.9457831318657,0.0009066628798016261,4,2016,15,15,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.11773311420665,1
Thresholding - OpenCV with Python for Image and Video Analysis 6,127159,1363,93,2015-12-22,0.010718863784710472,1367.301075267347,0.0007313678150976331,12,2015,22,52,4,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.753201415024739,1
Joining and Merging Dataframes - p.6 Data Analysis with Python and Pandas Tutorial,145655,1121,79,2015-09-29,0.007696268579863371,1843.734177212856,0.0005423775359582572,9,2015,29,40,3,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,11.8890029561838,1
