channel_title,video_title,views,likes,comments,published_date
sentdex,Installation and Setup of Operating System (Raspbian) - Raspberry Pi and Python tutorials p.2,390964,3010,135,4/3/2017
sentdex,Setting up API and Vision Intro  - Google Cloud Python Tutorials p.2,127663,910,132,3/21/2017
sentdex,Intro and creating a virtual machine - Google Cloud Python Tutorials p.1,233818,1954,102,3/21/2017
sentdex,Using our Network - Using Convolutional Neural Network to Identify Dogs vs Cats p. 4,54064,470,97,2/22/2017
sentdex,Intro and preprocessing - Using Convolutional Neural Network to Identify Dogs vs Cats p. 1,184636,1478,128,2/22/2017
sentdex,Preprocessing data - 3D Convolutional Neural Network w/ Kaggle and 3D medical imaging p.5,41610,254,20,2/10/2017
sentdex,Reading Files - 3D Convolutional Neural Network w/ Kaggle and 3D medical imaging p.2,73592,685,76,2/10/2017
sentdex,Research  - Algorithmic Trading with Python and Quantopian p. 4,61365,660,47,1/30/2017
sentdex,Hobbies and Procrastination - Q&A #10,59634,1377,164,1/22/2017
sentdex,Basic Stock data Manipulation - Python Programming for Finance p.3,191301,2070,130,1/17/2017
sentdex,"Special Methods, OOP, Iteration - Intermediate Python Programming p.21",17091,244,33,12/7/2016
sentdex,Detecting collisions - Intermediate Python Programming p.20,21220,237,39,12/6/2016
sentdex,Operator overloading - Intermediate Python Programming p.19,19416,258,18,12/5/2016
sentdex,Decorators - Intermediate Python Programming p.18,31974,587,61,11/29/2016
sentdex,Multiprocessing spider example - Intermediate Python Programming p.12,38030,522,75,11/16/2016
sentdex,TFLearn - Deep Learning with Neural Networks and TensorFlow p. 14,71779,502,158,10/4/2016
sentdex,Installing the GPU version of TensorFlow for making use of your CUDA GPU,121377,613,158,8/26/2016
sentdex,Using More Data - Deep Learning with Neural Networks and TensorFlow part 8,69359,404,128,8/25/2016
sentdex,Running our Network  - Deep Learning with Neural Networks and TensorFlow,191081,1861,625,7/21/2016
sentdex,Mean Shift with Titanic Dataset - Practical Machine Learning Tutorial with Python p.40,36458,375,49,7/1/2016
sentdex,Support Vector Machine Intro and Application  - Practical Machine Learning Tutorial with Python p.20,148882,1500,120,5/13/2016
sentdex,Classification w/ K Nearest Neighbors Intro - Practical Machine Learning Tutorial with Python p.13,143397,1472,47,4/29/2016
sentdex,Testing Assumptions - Practical Machine Learning Tutorial with Python p.12,115292,1330,146,4/26/2016
sentdex,How to program the Best Fit Line - Practical Machine Learning Tutorial with Python p.9,143394,1282,86,4/18/2016
sentdex,Pickling and Scaling - Practical Machine Learning Tutorial with Python p.6,183089,1561,166,4/15/2016
sentdex,Thresholding - OpenCV with Python for Image and Video Analysis 6,127159,1363,93,12/22/2015
sentdex,Joining and Merging Dataframes - p.6 Data Analysis with Python and Pandas Tutorial,145655,1121,79,9/29/2015
sentdex,[See Description] Leverage - Python for Finance with Quantopian and Zipline 18,8456,52,25,8/7/2015
sentdex,[See Description] Creating our Machine Learning Classifiers - Python for Finance 16,10204,54,18,7/15/2015
sentdex,Matplotlib Tutorial 24 - multi y axis plotting volume on stock chart,46374,312,10,7/12/2015
sentdex,Matplotlib Tutorial 30 - 3d scatter plot,31929,220,13,7/12/2015
sentdex,Matplotlib Tutorial 5 - stack plots,119874,1304,74,7/12/2015
sentdex,Matplotlib Tutorial 15 - styles,38708,359,9,7/12/2015
sentdex,Matplotlib Tutorial 16 - Live graphs,362351,3479,273,7/12/2015
sentdex,[See Description] Understanding Hedgefund and other financial Objectives - Python for Finance 13,9397,99,7,7/10/2015
sentdex,[See Description] Shorting based on Sentiment Analysis signals - Python for Finance 11,9316,78,37,7/6/2015
sentdex,[See Description] Programming for Finance with Python and Quantopian and Zipline Part 1,192579,2009,171,6/26/2015
sentdex,Toolbar - PyQt with Python GUI  Programming tutorial 6,71255,540,41,5/30/2015
sentdex,Naive Bayes - Natural Language Processing With Python and NLTK p.13,109826,666,115,5/14/2015
sentdex,Flask Tutorial Web Development with Python 23 - More CMS,12989,55,10,4/6/2015
sentdex,Flask Tutorial Web Development with Python 22 - Content Management System,16346,103,17,4/6/2015
sentdex,Flask Tutorial Web Development with Python 14 - Connecting to database,40078,159,76,3/30/2015
sentdex,Kivy with Python tutorial Part 10 - Screen Manager,55951,372,49,2/27/2015
sentdex,Kivy with Python tutorial Part 12 - Adding better Navigation,46013,309,76,2/27/2015
sentdex,Kivy with Python tutorial Part 3 - The Kivy .kv Language,76548,462,90,2/20/2015
sentdex,Scikit Learn Machine Learning Tutorial for investing with Python p. 20,9557,65,14,1/16/2015
sentdex,Scikit Learn Machine Learning Tutorial for investing with Python p. 15,12559,66,27,1/10/2015
sentdex,Scikit Learn Machine Learning Tutorial for investing with Python p. 14,18319,96,53,1/8/2015
sentdex,Adding other Exchanges p.3- Tkinter tutorial Python 3.4 part 22,6276,62,18,12/7/2014
sentdex,Adding a tutorial option - Tkinter tutorial Python 3.4 part 19,8180,89,9,12/3/2014
sentdex,Adding Indicators cont'd - Tkinter tutorial Python 3.4 part 16,11304,91,13,11/30/2014
sentdex,Customizing embedded graph - Tkinter GUI development series p. 10,39065,228,34,11/17/2014
sentdex,Moving Cubes - OpenGL with PyOpenGL Python and PyGame - 4,33117,348,65,11/15/2014
sentdex,Game Development in Python 3 With PyGame - 17 - Pause function,43608,332,48,10/15/2014
sentdex,Flask Web Development in Python - 2 - Your first Flask Web App,51864,276,89,9/23/2014
sentdex,Game Development in Python 3 With PyGame - 1 - Intro,958032,8759,1115,8/27/2014
sentdex,Python 3 Programming Tutorial - Matplotlib plotting from a CSV,129369,822,58,8/11/2014
sentdex,Python 3 Programming Tutorial - Matplotlib Styles,27085,218,30,8/7/2014
sentdex,Pandas with Python 2.7 Part 6 - Data visualization with Matplotlib,43409,215,28,7/30/2014
sentdex,Jetson Tegra K1 Devkit - Setting up Desktop GUI (Ubuntu 14.04),23442,116,50,6/10/2014
sentdex,Python and Pandas for Sentiment Analysis and Investing 12,3303,17,3,6/4/2014
sentdex,Raspberry pi with Python for Robotics 10 - Programming Distance Sensor HC-SR04,41231,197,46,5/2/2014
sentdex,Raspberry pi with Python for Robotics 3 - Connecting 4 motors,73508,238,8,4/26/2014
sentdex,Monte Carlo Simulation and Python 1 - Intro,185997,918,48,3/19/2014
sentdex,Getting Node Rank tutorial - Supercomputing and Parallel Programming in Python and MPI 2,16236,71,12,2/28/2014
sentdex,Getting MPI4py and MPI tutorial-  Supercomputing and Parallel Programming in Python and MPI 1,55242,308,17,2/28/2014
sentdex,Build Your Own Supercomputer 4 - Downloading/Installing an MPI,22940,90,28,2/21/2014
sentdex,Python 3 programming tutorial: While Loop,579949,5407,303,1/22/2014
sentdex,Python 3 Tutorial: Print Function and Strings,478989,3339,200,1/22/2014
sentdex,Python Finance and Math Tutorials: Graphing the Elder Force Index (EFI) in Matplotlib,712,2,0,12/3/2013
sentdex,Python Finance and Math Tutorials: Programming the Elder Force Index (EFI),1195,11,1,12/3/2013
sentdex,Python math and stocks: How to program the Chaikin Volatility for Matplotlib graphing,982,6,2,11/30/2013
sentdex,Python math and stocks: How to program the Chaikin Volatility,1272,9,0,11/30/2013
sentdex,MySQL Database with Python Tutorial Part 1 - Intro,256409,727,46,11/27/2013
sentdex,MySQL Database with Python Tutorial Part 2 - creating tables and inserting data,81354,204,29,11/27/2013
sentdex,Python: Programming Average True Range (ATR) 2 Mathematics and Stock Indicators,7107,49,9,11/24/2013
sentdex,Python: Accumulative Swing Index (ASI) 2 Mathematics and Stock Indicators,3083,15,3,11/22/2013
sentdex,Python for Spreadsheets and CSV File manipulation - Part 1 Basics,92694,348,48,10/25/2013
sentdex,Machine Learning and Pattern Recognition for Algorithmic Trading p. 17,15411,80,12,10/16/2013
sentdex,AttributeError: 'module' object has no attribute and ImportError: No module named Python,113762,194,31,10/9/2013
sentdex,OverflowError: math range error Python Error Debugging,7772,22,3,10/9/2013
sentdex,Finishing the Graphing - Programming and Fundamental Investing Part 14,3144,22,1,10/5/2013
sentdex,Graphing Finance Data - Programming and Fundamental Investing Part 13,4500,29,12,10/5/2013
sentdex,Geographical Plotting with Python Part 4 - Plotting on a Map,52103,173,6,9/29/2013
sentdex,Geographical Plotting with Python Part 2 - Some customization,13789,77,2,9/29/2013
sentdex,Python Charting Stocks/Forex for Technical Analysis Part 9 - Adding Volume data to matplotlib graph,14128,69,2,8/26/2013
codebasics,AI Orchestration with Zapier MCP & OpenAI,24371,428,2,6/6/2025
codebasics,Great Vs Good Data Analyst #codebasics #data #shorts #dataanlysis #dataanalyst,8073,322,1,6/3/2025
codebasics,Cross Join in SQL #data #dataanalyst #datascientist #sql #codebasics,17544,283,2,5/29/2025
codebasics,Most important feature in Power BI #codebasics #data #dataanalyst #ai #datascientist,9517,355,7,5/26/2025
codebasics,AI Basics for Beginners,56606,1364,51,5/20/2025
codebasics,All You Need is This Single MCP Server !,26700,794,8,5/10/2025
codebasics,Data Analyst Career #data #codebasics #career #dataanalyst #job #shorts,5513,151,12,5/7/2025
codebasics,Data Scientist Vs AI Engineer #shorts #aiengineer #datascientist #data #ai #dataanalyst,9997,233,4,4/25/2025
codebasics,Interview Mistake #codebasics #interview #mistake #data #job #datascientist #shorts #freshers,13998,213,5,4/24/2025
codebasics,Working Hard But Not Getting Results? #codebasics #hardwork #success #data #shorts #failure,12237,269,5,4/21/2025
codebasics,MCP Tutorial: Build Your First MCP Server,75604,1422,69,4/18/2025
codebasics,AI Engineer Roadmap 2025 #ai #aiagents #data #codebasics #shorts #aiengineer,18922,692,10,4/9/2025
codebasics,AI Vs ML Vs NLP #shorts #nlp #genai #ml #ai #data,24122,353,8,4/3/2025
codebasics,Model Context Protocol Clearly Explained | MCP Beyond the Hype,174598,3147,120,3/20/2025
codebasics,Data Analyst Roadmap 2025 #codebasics #shorts #dataanalytics #roadmap #dataanlysis #data,6670,354,5,3/12/2025
codebasics,Difference between API & KPI #shorts #data #dataanlysis,9410,390,5,3/1/2025
codebasics,Data Analyst Interview #shorts #codebasics #data #dataanalyst,51001,1932,27,2/26/2025
codebasics,The future with AI Agents #zapier #automation,11347,506,9,2/20/2025
codebasics,Number of Projects on a Data Analyst's Resume #shorts #data #dataanalyst,10870,502,2,2/17/2025
codebasics,Choose wisely #shorts #data #dataanalyst #datascience,7881,400,7,2/4/2025
codebasics,An effective way to improve your memorization skills. #shorts #codebasics #learning,6929,496,2,2/3/2025
codebasics,Does a Data scientist role really suit you ? #shorts #datascience #data #dataanalyst #datascientist,7198,356,11,1/31/2025
codebasics,DeepSeek's impact on the future of AI  #shorts #ai #deepseek,10360,409,2,1/29/2025
codebasics,A day in the life of a Data Analyst #shorts #data #dataanalyst #datascience,219148,13891,72,1/28/2025
codebasics,Transformers Explained | Simple Explanation of Transformers,140023,3536,166,1/9/2025
codebasics,Guess what it could be in the comments! #shorts #christmas #codebasics,3576,61,5,12/25/2024
codebasics,Zapier's CEO on AI Automation,2475,81,2,12/18/2024
codebasics,Average salary of a Data Analyst #shorts #data #dataanalyst,9593,439,6,12/18/2024
codebasics,Human psychology #shorts #codebasics #data #datanalytics,2885,125,2,12/14/2024
codebasics,Importance of Networking! #codebasics #shorts,4765,150,0,12/10/2024
codebasics,I tried OpenAI Sora | Sora First Look,46476,525,51,12/10/2024
codebasics,Hyderabad Learner Meet-up!,1168,38,3,11/27/2024
codebasics,How many did you get right? #codebasics #shorts,2584,93,8,11/20/2024
codebasics,5 Life Formulas for Achieving Positive Outcomes #codebasics #lifeformulas #shorts,2531,188,1,11/19/2024
codebasics,Resume Project Challenge #13 #codebasics #resumeprojectchallenge #dataproject #data  #shorts,3213,108,5,11/14/2024
codebasics,Don't become a Data Scientist if...! #codebasics #datascience #datascientist #shorts,152778,4711,52,11/4/2024
codebasics,Number of Projects on a Data Analyst Resume.#codebasics #shorts #dataanalyst,7568,355,0,11/1/2024
codebasics,How good is your memory? #shorts #codebasics,4332,145,2,10/25/2024
codebasics,100 Hoodies Giveaway! #shorts #codebasics #data #dataanalyst,4498,145,123,10/24/2024
codebasics,Self-service BI #codebasics #shorts #powerbi #workculture,1858,66,0,10/22/2024
codebasics,How to tackle Career Gap? #shorts #codebasics #careergap #careerguidance,2523,124,2,10/7/2024
codebasics,Offline Excel Vs Cloud Excel for Power BI #shorts #codebasics  #powerbi #dataanalysis #data,6219,383,13,10/4/2024
codebasics,3rd Codebasics Day!,3176,212,5,9/17/2024
codebasics,How much statistics is needed for a data analyst role?,51258,1394,15,9/13/2024
codebasics,Importance of Unguided Projects,3978,324,4,9/5/2024
codebasics,Codebasics Unfiltered | Roundtable with 11 Industry Experts: Reality of Data Analyst Career in 2024,51075,1646,97,8/31/2024
codebasics,This is how they scam you!,5645,239,22,8/28/2024
codebasics,Secret to Improving Your Memorization,5986,480,7,8/20/2024
codebasics,Be aware of such scams!,6466,275,18,8/8/2024
codebasics,Is Data Science a good career?,127496,3107,30,8/5/2024
codebasics,Is SQL enough to get a Job ?,121437,3175,28,8/1/2024
codebasics,Which industries hire Data Analysts?,27291,1193,18,7/31/2024
codebasics,AI Product Manager: Core Skill & Took Skill,71008,2416,20,7/29/2024
codebasics,Attention Hiring Managers!,4478,267,5,7/26/2024
codebasics,AI Product Manager,40151,2176,17,7/23/2024
codebasics,Machine Learning for Data Science & AI,8298,287,4,7/17/2024
codebasics,Data Science Roadmap 2024,4994,299,5,7/10/2024
codebasics,Order to learn PowerBI basics!,27841,1303,7,6/26/2024
codebasics,Company is COMPANY!,9096,334,5,6/17/2024
codebasics,The BI Show!,8232,160,8,6/4/2024
codebasics,Is Data Science a Good Career?,315898,7283,402,5/30/2024
codebasics,How do businesses use the dashboards?,9052,405,3,5/30/2024
codebasics,Data Analyst/Data Science vs Data Engineer!,16094,618,11,5/29/2024
codebasics,What is RAG ? #codebasics #data #datascience #ai #dataanalyst,82852,3097,17,5/27/2024
codebasics,Avoid this mistake in your next interview!,8525,343,3,5/22/2024
codebasics,Don't learn data tools without knowing this!,4140,245,0,5/16/2024
codebasics,Struggling to land a job?,9955,644,3,5/2/2024
codebasics,Is Python easy to learn?,18518,801,5,5/1/2024
codebasics,"If I Marry ""Data Science & AI"" As A Profession...",11541,464,19,4/30/2024
codebasics,Is PowerBI easy to learn? #codebasics #data #dataanalyst #powerbi,473824,15890,96,4/29/2024
codebasics,Gen AI Course | Gen AI Tutorial For Beginners,699600,13170,369,4/26/2024
codebasics,Take this Scam Test #codebasics #data #dataanalyst #datascientist,4968,142,4,4/24/2024
codebasics,Data Project Challenge | Sales Promotion Insights | RPC#9,3707,61,0,4/20/2024
codebasics,Something Special Launching Soon... #codebasics #ai #dataanalyst #data #datascientist,8433,196,11,4/10/2024
codebasics,THIS IS WHY you're not able to FOCUS!,14495,436,6,4/2/2024
codebasics,Career in AI | Which Career Option is the Best for Me?,66163,3115,133,3/23/2024
codebasics,AI Career Opportunities | Career in AI with Salaries,230994,6268,214,3/19/2024
codebasics,Non Technical Skills Required for Data Analyst Jobs!,20987,813,7,3/12/2024
codebasics,Resume Project Challenge 10!,3004,122,5,3/4/2024
codebasics,Impact of AI on data analyst jobs?,36088,1252,15,2/29/2024
codebasics,The Secret to Success is...,16729,954,4,2/26/2024
codebasics,Lawyer to Software Engineer at Google!,7279,308,8,2/21/2024
codebasics,9 Unguided data projects for your Resume!,9070,604,5,2/19/2024
codebasics,Cracking a job When Market is DRY!,8120,468,18,2/8/2024
codebasics,Kaun Banega Scam Aware?,2874,69,1,1/30/2024
codebasics,Reality of Job Guarantee Programs,3286,120,1,1/29/2024
codebasics,Something that's spreading fast will be EXPOSED this Republic Day.,2568,71,8,1/25/2024
codebasics,Share your experience in the comments below,6164,168,5,1/24/2024
codebasics,Guess SQL full forms!,7356,220,7,1/23/2024
codebasics,Excel Job Ready Checklist 2024,44371,2836,15,1/22/2024
codebasics,Importance of LinkedIn and Online Credibility!,5319,359,3,1/17/2024
codebasics,STAY AWAY from such FALSE PROMISES!,5760,173,9,1/11/2024
codebasics,Data Analyst Roadmap 2024,9951,604,5,1/6/2024
codebasics,Importance of Portfolio Website!,7492,436,1,1/5/2024
codebasics,How Data Analysts Build Dashboard in Real Time?,5350,354,3,1/4/2024
codebasics,Is coding required for the Data Analyst role ?,16640,704,10,1/2/2024
codebasics,Found it relatable? Then share it with your friends.,14282,256,3,12/30/2023
codebasics,Share it with your friends if you found it relatable,22334,534,12,12/29/2023
codebasics,New Resume Project Challenge is LIVE NOW!,4071,205,6,12/20/2023
codebasics,BEWARE of such Ed-Tech Ads!,13287,292,16,12/19/2023
codebasics,👆 Is Data Analyst a Good Career ?,24772,889,15,12/17/2023
codebasics,Hack Struggle in learning,4753,412,4,12/16/2023
codebasics,👆 Is Data analyst a right career choice for me?,12427,340,5,12/15/2023
codebasics,Tech Stack for Data Analyst Role,3058,241,5,12/13/2023
codebasics,Why People Give Up?,9874,467,6,12/12/2023
codebasics,New Resume Project Challenge is LIVE NOW!,4696,131,5,12/6/2023
codebasics,Hack for fast learning!,4621,253,5,11/30/2023
codebasics,Do you still need Excel?,5953,342,1,11/23/2023
codebasics,Your salary increment depends on THIS!,4832,231,0,11/19/2023
codebasics,Surprise Announcement 📢,5788,281,24,11/17/2023
codebasics,Confused Between Data Analyt or Data Scientist?,8390,460,7,11/15/2023
codebasics,Drop your guesses in the comments!,3819,91,8,11/12/2023
codebasics,Live Winners & Top 20 Submissions Announcement | Telangana Government Insights | RPC#7 | Q & A,3491,104,6,11/11/2023
codebasics,Evolution 🐒of Business Intelligencework👨‍💻! 📈#codebasics #shorts #dataanalysis #data #datascience,3927,205,5,11/7/2023
codebasics,🌟Most important skill for a Data Analyst!🌟#codebasics #shorts #dataanalysis #data #datascience,5364,166,11,10/28/2023
codebasics,✅This is how you get to TOP 10%📈 of data aspirants!🤩#codebasics #shorts #dataanalysis #data,4845,354,2,10/26/2023
codebasics,✅One Key Difference Between Average & Great Data Analyst! #codebasics #shorts,16046,801,4,10/23/2023
codebasics,15 Resources to Improve Your Domain Knowledge! 📈#codebasics #shorts #dataanalysis #data #datascience,8861,731,18,10/19/2023
codebasics,8 Projects for Your Data Analyst Resume! 📽️🤩#codebasics #shorts #dataanalysis #data #dataanalytics,248685,18306,38,10/17/2023
codebasics,This is more important than the formal education! 🤫 #shorts #dataanalysis #data #dataanalytics,3596,223,8,10/14/2023
codebasics,Mechanical Engineer to Deep Learning Engineer with 2X Salary!,26556,753,45,10/12/2023
codebasics,12 Best Practices For Data Analytics Project! 📊💡,22751,638,21,10/4/2023
codebasics,Future of Data Analytics belong to those.... #codebasics #shorts #dataanalysis #data,18146,1274,12,10/1/2023
codebasics,Now ChatGPT can Read and Hear!!! 🤩🫡#codebasics #shorts #dataanalysis #data,20028,678,5,9/29/2023
codebasics,Not getting interview call?😕💡 #codebasics #shorts #dataanalysis #data,4739,204,0,9/26/2023
codebasics,Data Visualization Tip: Ribbon Chart 💡📊 #codebasics #shorts #dataanalysis #data,8324,559,4,9/25/2023
codebasics,8 Portals for Datasets🤯#codebasics #shorts #dataanalysis #data,22675,2984,14,9/24/2023
codebasics,Mom with 6 Years Career Break! 🤯#codebasics #shorts #dataanalysis #data,13773,531,10,9/19/2023
codebasics,Not Getting an Interview Call?😕 #codebasics #shorts #dataanalysis #data,14212,1311,14,9/16/2023
codebasics,This Attitude YOU NEED in Data Field! 📈✅ #codebasics #shorts #dataanalysis #data,65132,4151,47,9/15/2023
codebasics,Art of Asking Questions!🎨💡 #codebasics #shorts #dataanalysis #data,10918,562,6,9/14/2023
codebasics,Data Analyst Roadmap 2023 🚀,45809,3787,55,9/4/2023
codebasics,Search Skill OR Memorization Skill? 😕 #dataanalysis #datascience #data #shorts,12655,1095,27,8/28/2023
codebasics,He became a data analyst at age 51! 👨‍⚕️➡📊😲 #dataanalytics #data #datascience #shorts,11086,575,13,8/23/2023
codebasics,LLM Explained |  What is LLM,299230,8218,236,8/22/2023
codebasics,5 Dashboarding Tips💡 #shorts #dataanalytics #data #datascience,5135,380,1,8/19/2023
codebasics,Business Math & Statistics Using Excel For Data Analysts and Data Scientists,324472,7633,210,7/21/2023
codebasics,How to use ChatGPT on your data - End to End Project | OpenAI Function Calling For Beginners,31188,870,61,7/12/2023
codebasics,LangChain Crash Course For Beginners | LangChain Tutorial,445529,10753,349,6/30/2023
codebasics,Hacks for Moms With a Career Break to Become a Data Analyst [Unfiltered Process],31023,988,79,5/25/2023
codebasics,Watch this if you have a CAREER GAP,24630,1714,42,5/16/2023
codebasics,How Omdena helped her get a Data Scientist job!,11630,437,31,2/11/2023
codebasics,Team Codebasics UNITED 🔥🎇,24485,1478,26,2/8/2023
codebasics,Can I learn data science if I am more than 30?,18755,1022,121,2/7/2023
codebasics,5 Projects for a Data Analyst Job | All Materials Included,365669,11190,161,1/21/2023
codebasics,Resume Challenge #3 Winner Announcement: Insights to the Executive Team in the Telecom Domain,3619,85,3,1/13/2023
codebasics,5 Unique Python Project Ideas for Your Resume | Python Projects for Beginners to Advanced,221656,6088,60,12/28/2022
codebasics,7 Job Options After Learning Python | Python Career Opportunities,130022,3293,100,12/9/2022
codebasics,Future belongs to those...,38733,2618,24,11/22/2022
codebasics,SQL Course Live Now On Codebasics.io | SQL For Beginner and Advanced Users,50227,772,79,11/17/2022
codebasics,fastText Tutorial | Train Custom Word Vectors in fastText | NLP Tutorial For Beginners - S2 E12,48922,1041,65,10/22/2022
codebasics,News classification using Gensim word vectors: NLP Tutorial For Beginners - S2 E11,25277,960,46,10/11/2022
codebasics,Word vectors in Gensim overview: NLP Tutorial For Beginners - S2 E10,29143,985,28,10/5/2022
codebasics,NVIDIA GPU Giveaway | World's Biggest FREE AI Conference - NVIDIA GTC Fall 2022,5880,184,107,9/16/2022
codebasics,8 Data Analyst Skills in 2022 | Ironman Style 🔥🔥,22606,1420,17,9/12/2022
